Scenario,Preys,Replicates,Baits,Overdispersion,TI_t0,Stickiness,TI_strength,ROC_AUC_Enrichment,ROC_AUC_Specificity,ROC_AUC_in_frame,PR_AUC_Enrichment,PR_AUC_Specificity,PR_AUC_in_frame
1,20000,3,5,Random,Random,0.05,0.999,,,,,,
2,20000,3,5,Random,Random,0.001,0.999,,,,,,
3,20000,3,5,Random,Random,0.005,0.999,,,,,,
4,20000,3,5,Random,Random,0.1,0.999,,,,,,
5,20000,3,5,Random,Random,0.001,0.995,,,,,,
6,20000,3,5,Random,Random,0.001,0.99,,,,,,
7,20000,3,5,Random,Random,0.001,0.95,,,,,,
8,20000,3,5,High,Random,0.001,0.999,,,,,,
9,20000,3,5,Random,Low,0.001,0.999,,,,,,
10,20000,3,5,High,Low,0.001,0.999,,,,,,
11,20000,5,5,Random,Random,0.001,0.999,,,,,,
12,20000,5,5,Random,Low,0.001,0.999,,,,,,
13,20000,2,5,Random,Random,0.001,0.999,,,,,,
14,20000,2,5,Random,Low,0.001,0.999,,,,,,
15,20000,3,10,Random,Random,0.001,0.999,,,,,,
16,20000,3,2,Random,Random,0.001,0.999,,,,,,
17,8000,3,5,Random,Random,0.001,0.999,,,,,,
18,40000,3,5,Random,Random,0.001,0.999,,,,,,
19,20000,5,5,High,Random,0.001,0.999,,,,,,
20,20000,2,5,High,Random,0.001,0.999,,,,,,
21,20000,2,5,Random,Random,0.05,0.999,,,,,,
22,20000,5,5,Random,Random,0.05,0.999,,,,,,
23,20000,3,10,Random,Random,0.05,0.999,,,,,,
24,20000,3,2,Random,Random,0.05,0.999,,,,,,
