,Scenario,Preys,Replicates,Baits,Overdispersion,TI_t0,Stickiness,TI_strength,ROC_AUC_Enrichment,ROC_AUC_Specificity,ROC_AUC_in_frame,PR_AUC_Enrichment,PR_AUC_Specificity,PR_AUC_in_frame
1,1,20000,3,5,Random,Random,0.05,0.999,0.98,1,0.99,0.477532414,0.649390911,0.485114684
2,2,20000,3,5,Random,Random,0.001,0.999,0.98,1,0.99,0.471603119,0.621663143,0.54540796
3,3,20000,3,5,Random,Random,0.005,0.999,0.99,1,0.99,0.498746979,0.65169747,0.464983098
4,4,20000,3,5,Random,Random,0.1,0.999,0.98,1,0.98,0.474374398,0.783902299,0.363797044
5,5,20000,3,5,Random,Random,0.001,0.995,0.94,0.98,0.96,0.151049565,0.322448747,0.280287486
6,6,20000,3,5,Random,Random,0.001,0.99,0.84,0.94,0.94,0.091734282,0.15044654,0.094131719
7,7,20000,3,5,Random,Random,0.001,0.95,0.77,0.95,0.93,0.020213169,0.06955965,0.054940995
8,8,20000,3,5,High,Random,0.001,0.999,0.97,1,0.99,0.549604607,0.651961677,0.620148087
9,9,20000,3,5,Random,Low,0.001,0.999,0.99,0.95,0.94,0.294840187,0.167026072,0.005236541
10,10,20000,3,5,High,Low,0.001,0.999,0.97,0.98,0.96,0.317917385,0.249117325,0.046001404
11,11,20000,5,5,Random,Random,0.001,0.999,0.99,1,0.98,0.613435392,0.659027156,0.529742053
12,12,20000,5,5,Random,Low,0.001,0.999,0.99,0.98,0.93,0.332076405,0.172040678,0.015604157
13,13,20000,2,5,Random,Random,0.001,0.999,0.98,1,0.99,0.402926463,0.553154234,0.529395337
14,14,20000,2,5,Random,Low,0.001,0.999,0.99,0.96,0.94,0.261862578,0.188966202,0.016957475
15,15,20000,3,10,Random,Random,0.001,0.999,0.97,1,0.99,0.430902894,0.604860757,0.634084632
16,16,20000,3,2,Random,Random,0.001,0.999,0.95,1,0.98,0.649201244,0.89528166,0.774761724
17,17,8000,3,5,Random,Random,0.001,0.999,1,1,1,0.6817456,0.798798581,0.689121122
18,18,40000,3,5,Random,Random,0.001,0.999,0.97,0.99,1,0.505336122,0.670301816,0.764513305
19,19,20000,5,5,High,Random,0.001,0.999,0.98,1,1,0.476614296,0.545221827,0.669782406
20,20,20000,2,5,High,Random,0.001,0.999,0.96,0.99,0.99,0.535412997,0.66783965,0.671640907
21,21,20000,2,5,Random,Random,0.05,0.999,0.95,0.99,0.99,0.3400483,0.664968545,0.470900217
22,22,20000,5,5,Random,Random,0.05,0.999,0.98,1,0.99,0.538448163,0.640387343,0.585772195
23,23,20000,3,10,Random,Random,0.05,0.999,0.97,1,0.99,0.4523749,0.7119219,0.4864503
24,24,20000,3,2,Random,Random,0.05,0.999,0.95,0.97,0.98,0.3548121,0.4703202,0.4377236
